rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,gpt-4o-20240806,0.8426197458455523,0.882943143812709,0.8372740315638451,0.8879661870936877,1023,897,126,126,126
2,2,gpt-4.1,0.8357771260997068,0.8717948717948718,0.8326542324246772,0.8847404182705736,1023,897,126,126,126
3,4,gpt-4.1-mini,0.8103616813294232,0.8494983277591973,0.8034624581539932,0.8601921407820969,1023,897,126,126,126
4,5,claude-4-opus-thinking-off,0.8064516129032258,0.8450390189520625,0.796929698708752,0.828450497367914,1023,897,126,126,126
5,7,DeepSeek-V3.2-Exp-thinking-off,0.804496578690127,0.8416945373467113,0.7799808703969392,0.8314126832324199,1023,897,126,126,126
6,6,claude-4-sonnet-thinking-off,0.8035190615835777,0.8450390189520625,0.7903491152558584,0.8309525798449928,1023,897,126,126,126
7,3,claude-4.5-sonnet-thinking-on-10k,0.8015640273704789,0.850613154960981,0.7930320420851267,0.8504631218912216,1023,897,126,126,126
8,13,Kimi-K2-Instruct,0.7996089931573802,0.835005574136009,0.7948828311812531,0.8367141154995323,1023,897,126,126,126
9,9,o3-high,0.7976539589442815,0.8394648829431438,0.8002247728359636,0.8566002087178199,1023,897,126,126,126
10,11,Kimi-K2-Instruct-0905,0.7956989247311828,0.8383500557413601,0.7851028216164515,0.8303815411718661,1023,897,126,126,126
11,12,gemini-2.5-flash-thinking-off,0.7947214076246334,0.8372352285395763,0.7820277379244381,0.8235358338919089,1023,897,126,126,126
12,14,gpt-oss-120b,0.793743890518084,0.8294314381270903,0.78636537541846,0.8392300179625604,1023,897,126,126,126
13,8,gemini-2.5-pro-thinking-on,0.7927663734115347,0.8416945373467113,0.7905451936872311,0.8496739368286653,1023,897,126,126,126
14,15,DeepSeek-V3-0324,0.7898338220918866,0.8283166109253066,0.7640124342419895,0.803829013400851,1023,897,126,126,126
15,10,claude-4-opus-thinking-on-10k,0.7878787878787878,0.8394648829431438,0.7805930176948828,0.8338348288484392,1023,897,126,126,126
16,16,DeepSeek-V3.2-Exp-thinking-on,0.7859237536656891,0.8283166109253066,0.7884839789574366,0.8420683175535791,1023,897,126,126,126
17,18,Qwen3-235B-A22B-Instruct-2507-FP8,0.782991202346041,0.8260869565217391,0.7482400765184124,0.7868855314044308,1023,897,126,126,126
18,17,gemini-2.5-flash-thinking-on,0.7820136852394917,0.8283166109253066,0.7783739837398373,0.8300658211973956,1023,897,126,126,126
19,19,DeepSeek-R1-0528,0.7810361681329423,0.8260869565217391,0.7734098517455764,0.8228881470657881,1023,897,126,126,126
20,21,Qwen3-235B-A22B-FP8,0.7683284457478006,0.8138238573021181,0.7490004782400765,0.7985037426355963,1023,897,126,126,126
21,20,claude-4-sonnet-thinking-on-10k,0.7683284457478006,0.8149386845039019,0.7558632233381157,0.8066533472630963,1023,897,126,126,126
22,22,gpt-4o-mini,0.7653958944281525,0.8093645484949833,0.7401769488283115,0.7888366120785902,1023,897,126,126,126
23,24,gpt-oss-20b,0.7624633431085044,0.8049052396878483,0.7443185078909612,0.7751865426717495,1023,897,126,126,126
24,23,Qwen3-235B-A22B-Thinking-2507-FP8,0.7536656891495601,0.8071348940914158,0.7529937828790053,0.8240640848385162,1023,897,126,126,126
25,25,Qwen3-Coder-480B-A35B-Instruct-FP8,0.739980449657869,0.7725752508361204,0.7299808703969393,0.7916610358914496,1023,897,126,126,126
26,26,o4-mini-high,0.7233626588465298,0.7692307692307693,0.7202247728359638,0.7729671887817465,1023,897,126,126,126
27,27,gpt-5,0.6999022482893451,0.7603121516164995,0.6838259206121475,0.7284448974352656,1023,897,126,126,126
28,28,gpt-4.1-nano,0.5855327468230694,0.6287625418060201,0.5432376853180297,0.5691907553439891,1023,897,126,126,126
29,29,claude-4.5-sonnet-thinking-off,0.5581622678396871,0.5808249721293199,0.5594404591104736,0.5803867392701154,1023,897,126,126,126
30,30,gpt-5-nano,0.46920821114369504,0.4972129319955407,0.48222859875657575,0.5212821368973531,1023,897,126,126,126
