rank,filtering_rank,model,original_avg,filtering_avg,tau-bench_original,tau2-bench_original,ACEBench_original,complex-func-bench_original,NexusBench_original,BFCL_original,BFCL_V4_original,DrafterBench_original
1,1,gpt-4.1,0.6577144958308014,0.6867527972577798,0.6424242424242425,0.5107913669064749,0.8357771260997068,0.63,0.44633273703041143,0.495,0.8917293233082707,0.8096611708773049
2,3,Kimi-K2-Instruct,0.649801124715671,0.6808418821734306,0.6242424242424243,0.6223021582733813,0.7996089931573802,0.601,0.46332737030411447,0.4075,0.8601503759398497,0.8202776758082172
3,2,o3-high,0.6497712279720831,0.6841643964383465,0.6848484848484848,0.6359649122807017,0.7976539589442815,0.396,0.4221824686940966,0.54625,0.8511278195488722,0.8641421794602274
4,4,Kimi-K2-Instruct-0905,0.642315004131569,0.6756369095686969,0.6484848484848484,0.697841726618705,0.7956989247311828,0.48,0.43559928443649376,0.375,0.8827067669172932,0.8231884818640275
5,5,gpt-4o-20240806,0.6147895876500045,0.6399312557726371,0.593939393939394,0.39928057553956836,0.8426197458455523,0.618,0.5080500894454383,0.44125,0.7473684210526316,0.7678084753774505
6,6,DeepSeek-V3.2-Exp-thinking-on,0.6105266114531385,0.6387788007779412,0.7212121212121212,0.4649122807017544,0.7859237536656891,0.366,0.3694096601073345,0.46625,0.8977443609022556,0.8127607150359529
7,8,DeepSeek-V3-0324,0.6011741920797401,0.6305396516787974,0.5818181818181818,0.39473684210526316,0.7898338220918866,0.826,0.40429338103756707,0.295,0.7488721804511278,0.7688391291338934
8,7,gpt-5,0.600484329125033,0.6341568461366175,0.6484848484848484,0.7661870503597122,0.6999022482893451,0.421,0.4418604651162791,0.26875,0.706766917293233,0.8509231034568462
9,9,gpt-4.1-mini,0.5887224090811674,0.6154170376686068,0.47878787878787876,0.4784172661870504,0.8103616813294232,0.5,0.4445438282647585,0.4325,0.7954887218045112,0.7696798962757168
10,12,Qwen3-235B-A22B-Instruct-2507-FP8,0.5798832385996536,0.5998745060316689,0.40606060606060607,0.44964028776978415,0.782991202346041,0.542,0.46958855098389984,0.3725,0.8345864661654135,0.7816987954714846
11,10,DeepSeek-V3.2-Exp-thinking-off,0.5790470545645839,0.6036248307263203,0.6363636363636364,0.5071942446043165,0.804496578690127,0.379,0.3300536672629696,0.34625,0.8586466165413534,0.7703716930542686
12,11,Qwen3-235B-A22B-Thinking-2507-FP8,0.5723859615783417,0.6002804503994179,0.5575757575757576,0.5,0.7536656891495601,0.476,0.4338103756708408,0.18,0.8571428571428571,0.8208930130877168
13,14,gemini-2.5-flash-thinking-off,0.5310072049892522,0.5478505557652873,0.591304347826087,0.35526315789473684,0.7947214076246334,0.407,0.21288014311270126,0.27,0.8300751879699249,0.7868133954859349
14,13,Qwen3-235B-A22B-FP8,0.5260187000296532,0.5518196102065595,0.45454545454545453,0.38489208633093525,0.7683284457478006,0.306,0.44364937388193204,0.33125,0.7578947368421053,0.7615895028889983
15,15,gpt-4o-mini,0.49740056905029995,0.5218657524876021,0.43636363636363634,0.23381294964028776,0.7653958944281525,0.367,0.4731663685152057,0.28875,0.7142857142857143,0.7004299891694031
16,16,Qwen3-Coder-480B-A35B-Instruct-FP8,0.48083395046434807,0.4960614536875648,0.23030303030303031,0.30701754385964913,0.739980449657869,0.205,0.47048300536672627,0.33125,0.8105263157894737,0.7521112587380365
17,17,gpt-5-nano,0.4149005900445677,0.43024728011488933,0.48484848484848486,0.4244604316546763,0.46920821114369504,0.191,0.2898032200357782,0.01125,0.7218045112781954,0.7268298613957115
18,18,gpt-4.1-nano,0.35698480806871835,0.37092866892194276,0.19393939393939394,0.14473684210526316,0.5855327468230694,0.058,0.43112701252236135,0.1175,0.7097744360902256,0.6152680330694332
