rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,gpt-5,0.7661870503597122,0.8089430894308943,0.7126315789473684,0.7643074031231927,278,246,32,32,32
2,2,Kimi-K2-Instruct-0905,0.697841726618705,0.7235772357723578,0.6608187134502924,0.6967691665060086,278,246,32,32,32
3,3,claude-4.5-sonnet-thinking-on-10k,0.6726618705035972,0.6869918699186992,0.6740350877192983,0.7283545401966455,278,246,32,32,32
4,4,claude-4-opus-thinking-off,0.6491228070175439,0.6491228070175439,0.6491228070175439,0.6491228070175439,228,228,0,0,32
5,6,o3-high,0.6359649122807017,0.6359649122807017,0.6359649122807017,0.6359649122807017,228,228,0,0,32
6,5,claude-4-opus-thinking-on-10k,0.6294964028776978,0.6382113821138211,0.627719298245614,0.6615906754064649,278,246,32,32,32
7,9,claude-4.5-sonnet-thinking-off,0.6294964028776978,0.6300813008130082,0.6090058479532163,0.6439640768588136,278,246,32,32,32
8,7,claude-4-sonnet-thinking-on-10k,0.6258992805755396,0.6341463414634146,0.6173099415204678,0.6551739926739927,278,246,32,32,32
9,8,Kimi-K2-Instruct,0.6223021582733813,0.6341463414634146,0.6069005847953216,0.6387065419960157,278,246,32,32,32
10,10,claude-4-sonnet-thinking-off,0.564748201438849,0.5609756097560976,0.5451461988304094,0.568955240665767,278,246,32,32,32
11,11,o4-mini-high,0.5143884892086331,0.532520325203252,0.5191812865497076,0.5717153460574513,278,246,32,32,32
12,12,gpt-4.1,0.5107913669064749,0.524390243902439,0.4900584795321638,0.5297177237966711,278,246,32,32,32
13,14,DeepSeek-R1-0528,0.5071942446043165,0.508130081300813,0.5095906432748538,0.5408738191632928,278,246,32,32,32
14,15,DeepSeek-V3.2-Exp-thinking-off,0.5071942446043165,0.4959349593495935,0.5058479532163743,0.5346081550028918,278,246,32,32,32
15,13,Qwen3-235B-A22B-Thinking-2507-FP8,0.5,0.5121951219512195,0.4887719298245614,0.5305780476833108,278,246,32,32,32
16,16,gpt-4.1-mini,0.4784172661870504,0.4796747967479675,0.4787134502923977,0.5057033609665188,278,246,32,32,32
17,17,DeepSeek-V3.2-Exp-thinking-on,0.4649122807017544,0.4649122807017544,0.5071308479532164,0.5071308479532164,228,228,0,0,32
18,18,gemini-2.5-pro-thinking-on,0.4605263157894737,0.4605263157894737,0.5069298245614036,0.5069298245614036,228,228,0,0,32
19,19,Qwen3-235B-A22B-Instruct-2507-FP8,0.44964028776978415,0.4349593495934959,0.4553216374269005,0.4745630100893259,278,246,32,32,32
20,20,gpt-5-nano,0.4244604316546763,0.4349593495934959,0.416140350877193,0.4490842490842491,278,246,32,32,32
21,23,gpt-4o-20240806,0.39928057553956836,0.3861788617886179,0.3844444444444444,0.3937495983548615,278,246,32,32,32
22,21,DeepSeek-V3-0324,0.39473684210526316,0.39473684210526316,0.43376096491228067,0.43376096491228067,228,228,0,0,32
23,22,gemini-2.5-flash-thinking-on,0.39035087719298245,0.39035087719298245,0.39035087719298245,0.39035087719298245,228,228,0,0,32
24,24,Qwen3-235B-A22B-FP8,0.38489208633093525,0.3780487804878049,0.37274853801169594,0.3901725467514941,278,246,32,32,32
25,25,gemini-2.5-flash-thinking-off,0.35526315789473684,0.35526315789473684,0.3991337719298245,0.3991337719298245,228,228,0,0,32
26,26,Qwen3-Coder-480B-A35B-Instruct-FP8,0.30701754385964913,0.30701754385964913,0.3070175438596491,0.3070175438596491,228,228,0,0,32
27,27,gpt-4o-mini,0.23381294964028776,0.22764227642276422,0.2312280701754386,0.25031408649829706,278,246,32,32,32
28,28,gpt-4.1-nano,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,228,228,0,0,32
29,29,gpt-oss-120b,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.14473684210526316,228,228,0,0,32
30,30,gpt-oss-20b,0.08273381294964029,0.08943089430894309,0.12339181286549707,0.15116878735299788,278,246,32,32,32
