cn0_mean,cn0_std,agc_level,sv_count,pos_variance,delta_pseudorange
25.3275,5.1516,-50.1072,13.2313,0.403,0.7822
24.6981,5.4324,-48.9953,9.8852,0.331,0.6093
24.9825,5.4328,-50.6667,12.5805,0.2916,0.5367
24.376,5.562,-49.3313,9.0347,0.2897,0.5209
24.787,5.685,-47.5429,8.1924,0.5248,0.9232
26.3472,5.769,-48.1794,8.7016,0.2179,0.3777
24.2993,5.8051,-49.3545,11.5162,0.0716,0.1234
23.277,5.8352,-49.488,11.3684,0.7314,1.2535
25.5376,5.896,-50.2936,12.3579,0.2504,0.4247
25.7063,5.9046,-48.5063,7.5835,0.412,0.6977
25.3874,5.9301,-49.8947,8.8312,0.2903,0.4895
24.351,5.9591,-49.0671,7.2463,0.3499,0.5872
23.2095,5.9774,-50.7176,9.7025,0.1069,0.1788
24.8323,6.0192,-49.5141,10.0375,0.173,0.2875
24.6319,6.028,-48.9898,12.6879,0.0929,0.1541
24.4282,6.0413,-48.69,11.6039,0.468,0.7746
24.2763,6.0525,-49.015,11.5987,0.0663,0.1095
23.8607,6.1095,-48.4419,11.0568,0.6025,0.9861
24.3822,6.1157,-47.6972,11.6524,0.4838,0.7911
24.2201,6.1291,-51.1375,9.5397,0.5812,0.9483
24.0432,6.1383,-49.3241,12.638,0.4215,0.6867
24.3624,6.1483,-48.1021,10.9929,0.283,0.4603
24.4499,6.1666,-49.0075,10.7274,0.3449,0.5593
25.3504,6.2277,-48.3631,9.8919,0.034,0.0546
24.0649,6.3248,-50.675,11.1175,0.3414,0.5398
23.8067,6.4021,-49.4654,8.6261,0.2698,0.4214
24.6342,6.5634,-50.0015,9.5908,0.2652,0.404
25.3401,5.1471,-50.129,13.2542,0.3944,0.8016
24.6886,5.4325,-48.9519,9.9343,0.3361,0.6338
25.0517,5.4314,-50.6708,12.6317,0.2919,0.5451
24.3688,5.5719,-49.2461,9.1018,0.2864,0.5298
24.7901,5.6772,-47.5181,8.2623,0.5305,0.9404
26.3922,5.7689,-48.1747,8.6548,0.216,0.3983
24.2734,5.8039,-49.371,11.502,0.0554,0.1407
23.2602,5.8346,-49.4514,11.3183,0.7233,1.2678
25.5429,5.8991,-50.3027,12.3111,0.2536,0.4172
25.6969,5.907,-48.5374,7.6587,0.4276,0.6788
25.3534,5.9466,-49.8733,8.7981,0.2799,0.4998
24.3451,5.958,-49.0666,7.241,0.3498,0.5861
23.1993,5.9968,-50.6728,9.6569,0.117,0.1782
24.8495,6.0154,-49.5169,9.9984,0.1773,0.277
24.5845,6.022,-49.0976,12.7399,0.0903,0.1387
24.4083,6.0425,-48.6602,11.5746,0.4581,0.7912
24.3091,6.0569,-49.0858,11.5669,0.0539,0.115
23.9136,6.1128,-48.3839,11.0893,0.5973,0.9735
24.3391,6.1318,-47.6285,11.6853,0.4813,0.7957
24.2384,6.1432,-51.1536,9.5919,0.5656,0.9519
24.0153,6.1444,-49.3681,12.6492,0.4097,0.6929
24.338,6.1441,-48.1548,10.8774,0.2851,0.4867
24.4251,6.1653,-48.9746,10.7689,0.3421,0.5589
25.3384,6.2452,-48.3707,9.9247,0.0287,0.0395
24.0932,6.3276,-50.6976,11.1846,0.3386,0.5403
23.827,6.3858,-49.4746,8.5704,0.2641,0.4137
24.6359,6.5548,-49.9227,9.7569,0.2716,0.4105
