excluded_brand,baseline_candidate_count,selected_candidate_count,selection_rate,profit_retention_rate,avg_profit_lift,days_to_sell_ratio,acquisition_conversion_lift,sales_conversion_lift,leader_all_pass
212,30228,18036,0.596665,1.0754,1.5308553663001914,0.8465759068519448,1.3182410314650277,1.2842090977973637,True
AITO,30093,17961,0.59685,1.074338,1.5312729331153008,0.8462598874512046,1.316817926672706,1.2824832818397691,True
ARCFOX极狐,30207,18008,0.596153,1.077001,1.534615973773331,0.8461490918313852,1.319076252626182,1.2849815354492915,True
DS,30231,18036,0.596606,1.076018,1.532071992884145,0.846123751381264,1.318255709084431,1.2842381449633766,True
Jeep,30122,17954,0.596043,1.073368,1.5290277504386476,0.8466615831871689,1.3194240441536476,1.284371513854132,True
MINI,30145,17953,0.595555,1.075022,1.5324677593717941,0.8458678382600968,1.3203896450493728,1.28445470213111,True
Polestar极星,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.3184245252028084,1.2841461667784957,True
SERES赛力斯,30239,18036,0.596448,1.07592,1.5322691859775481,0.8462050494400075,1.3184759126038441,1.284030002638423,True
SWM斯威汽车,30244,18036,0.59635,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2842623519388379,True
firefly萤火虫,30210,18000,0.595829,1.076042,1.533470000963485,0.8462761196863111,1.318626768214208,1.2845611294138959,True
iCAR,30193,17988,0.595767,1.076949,1.5361519385986881,0.845082548647664,1.3187963220952912,1.284817868793041,True
smart,30194,17999,0.596112,1.07666,1.5339359330330309,0.8462413985939288,1.3181137099155003,1.284590317275923,True
一汽,30236,18036,0.596507,1.076147,1.5325925816911306,0.8461329990786836,1.318630098844494,1.2842623519388379,True
三菱,30162,17990,0.596446,1.077077,1.5343874238415198,0.8455471293458827,1.3193053181360075,1.2844188087963258,True
东南,30232,18036,0.596586,1.076382,1.532758929949617,0.8460719237166494,1.3186668151695717,1.284354346768812,True
东风,30242,18036,0.596389,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2841461667784957,True
东风奕派,30176,17973,0.595606,1.076524,1.5358345636919724,0.8455631598825363,1.3184239442668853,1.2846198082583593,True
东风小康,30241,18036,0.596409,1.076014,1.5324029885316768,0.8461308117308026,1.3184538889414752,1.2845868134768754,True
东风纳米,30234,18036,0.596547,1.076802,1.5330192763942836,0.8459794691857678,1.3186007272565279,1.2846788547983226,True
东风风光,30218,18036,0.596863,1.076798,1.53267687933857,0.846194332487273,1.3187475982824588,1.2841219641827277,True
东风风神,30169,17971,0.595678,1.076999,1.5356925238237658,0.8462463811230151,1.3186889818688983,1.2841706103857353,True
东风风行,30205,18010,0.596259,1.076911,1.533551685232971,0.8458281479952559,1.3191488177095803,1.2853876972061054,True
中华,30239,18036,0.596448,1.07592,1.5321009159766321,0.8462599400012129,1.3186007272565279,1.2841461667784957,True
丰田,28868,17391,0.602432,1.054442,1.486097446103857,0.8517909631871976,1.3217937546189567,1.2753675722660944,True
乐道,30120,17913,0.594721,1.076685,1.5374901591002352,0.846109296806549,1.3192873602981794,1.2853274844955378,True
九龙,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2841461667784957,True
云度,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
五十铃,30243,18036,0.596369,1.074927,1.5306864279584285,0.8466836843201163,1.3184538889414752,1.2842623519388379,True
五菱汽车,29767,17649,0.592905,1.08089,1.547570905715866,0.8458006513773034,1.3171716829356472,1.2878563013509998,True
享界,30225,18036,0.596725,1.073705,1.5287790420907617,0.8464378432100609,1.3179915619329632,1.2833044526482336,True
众泰,30218,18036,0.596863,1.076108,1.532368514610864,0.846159441963599,1.3181603104003028,1.2839138595129158,True
保时捷,30117,17985,0.597171,1.078065,1.5356811298175486,0.8459723763195175,1.3170407609598371,1.2825914761187924,True
克莱斯勒,30245,18036,0.59633,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
凌宝汽车,30245,18036,0.59633,1.076092,1.5325145080889069,0.8461164696539923,1.318490595454191,1.2845868134768754,True
凯翼,30240,18036,0.596429,1.076445,1.5328481959078881,0.8460544277762724,1.3185713569769968,1.2844705696047418,True
凯迪拉克,29803,17927,0.601517,1.072063,1.5117752851277093,0.8484044221259898,1.3144668702695526,1.2803520492418556,True
创维汽车,30243,18036,0.596369,1.076563,1.5331839679677088,0.8461382598350847,1.318630098844494,1.2842623519388379,True
别克,29247,17366,0.59377,1.07437,1.5273309450307202,0.8448622846898692,1.3325924564247396,1.2901364053836473,True
力帆汽车,30242,18036,0.596389,1.075861,1.5323538328734148,0.8461573375478293,1.318630098844494,1.2842623519388379,True
北京汽车,30228,18036,0.596665,1.07668,1.5330146459016976,0.8459681767237553,1.3184612300805132,1.2844415119238384,True
北京汽车制造厂,30243,18036,0.596369,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2841461667784957,True
北京越野,30183,18024,0.597157,1.075305,1.5294903943058895,0.8465126313065485,1.318764305882746,1.2835955903137661,True
北汽威旺,30242,18036,0.596389,1.075861,1.5323538328734148,0.8461573375478293,1.3184538889414752,1.2842623519388379,True
北汽幻速,30234,18036,0.596547,1.075861,1.5323538328734148,0.8461573375478293,1.3185346459674365,1.284030002638423,True
北汽新能源,30240,18036,0.596429,1.076092,1.5325145080889069,0.8460861812284624,1.31874025395411,1.2845868134768754,True
北汽昌河,30242,18036,0.596389,1.075861,1.5323538328734148,0.8461573375478293,1.318490595454191,1.2842623519388379,True
